Lead Number,Lead Origin,Lead Source,Notes,Lead Stage,Engagement Score,TotalVisits,Page Views Per Visit,Average Time Per Visit,Last Activity,Last Activity Date,Lead Conversion Date,Cityold,Specialization,Entrance Test,What is your current occupation
614924,Landing Page Submission,Google,"Dear Sir,I want to do MBA in operation (SCM). I have done B.Com from Kanpur University with 44% marks. i have also completed my Aircraft Engineering. corrently i am working in Epsilon Aerospace in Mumbai in procurement and logistics Department. Kindly do suggest me.Thankx & Regards,Akash Srivastava",Qualified,0,3,3,186,SMS Sent,17-07-2016 10:38,15-06-2016 10:52,,Supply Chain Management,MAT,Working Professional
614920,Landing Page Submission,Direct Traffic,,Qualified,0,3,3,25,SMS Sent,17-07-2016 10:38,15-06-2016 10:41,,IT Projects Management,MAT,Unemployed
614912,API,Olark Chat,,Junk Lead,0,0,0,0,Olark Chat Conversation,15-06-2016 10:32,,,,,
614911,Landing Page Submission,Google,,Qualified,0,7,3.5,173,SMS Sent,21-07-2016 7:16,15-06-2016 11:00,Thane,International Business,MAT,Unemployed
614906,Lead Add Form,Welingak Website,,Qualified,0,0,0,0,SMS Sent,21-07-2016 7:16,,,Select Specialization,MAT,Unemployed
614902,Lead Add Form,Reference,,Closed,0,0,0,0,Form Submitted on Website,4/8/16 10:40,,Pune,Human Resource Management,MAT,Unemployed
614900,Landing Page Submission,Direct Traffic,,Qualified,0,2,2,55,SMS Sent,26-07-2016 10:26,15-06-2016 10:26,Pune,Operations Management,MAT,Working Professional
614878,Landing Page Submission,Direct Traffic,,Unreachable,0,3,3,47,Email Opened,20-07-2016 1:28,15-06-2016 10:07,Ahmedabad,Human Resource Management,,
614865,API,Google,,Closed,0,2,2,1170,Email Opened,18-07-2016 7:19,15-06-2016 10:12,Pune,Select Specialization,MAT,Unemployed
614849,Lead Add Form,Welingak Website,,Qualified,0,0,0,0,SMS Sent,21-07-2016 7:16,,,Select Specialization,MAT,Unemployed
614846,Landing Page Submission,Google,,Qualified,0,4,4,99.33,SMS Sent,17-07-2016 10:38,15-06-2016 9:43,Pune,IT Projects Management,MAT,Unemployed
614845,API,Google,,Qualified,0,8,8,308.29,SMS Sent,21-07-2016 7:16,15-06-2016 10:12,Mumbai,Select Specialization,MAT,Unemployed
614840,Landing Page Submission,Direct Traffic,,Qualified,0,3,3,30,SMS Sent,26-07-2016 10:23,15-06-2016 9:32,Mumbai,Finance Management,MAT,Unemployed
614828,Landing Page Submission,Google,,Unreachable,0,5,5,217.4,Email Opened,12/7/16 7:28,15-06-2016 9:25,Mumbai,Finance Management,MAT,Unemployed
614821,API,Google,,Unreachable,0,6,3,190.75,Email Opened,30-07-2016 18:02,15-06-2016 9:22,Vapi,,,
614819,Landing Page Submission,Direct Traffic,,Qualified,0,19,2.38,234.14,SMS Sent,17-07-2016 10:38,15-06-2016 9:16,Mumbai,Finance Management,MAT,Unemployed
614817,Landing Page Submission,Organic Search,,Unreachable,0,5,2.5,76.33,Email Opened,27-06-2016 18:19,16-06-2016 17:47,Gurgaon,Supply Chain Management,MAT,Unemployed
614804,Landing Page Submission,Organic Search,,Qualified,10,8,2.67,361.8,Email Opened,30-07-2016 6:02,15-06-2016 9:20,Chennai,Travel and Tourism,MAT,Unemployed
614799,Landing Page Submission,Google,,Unreachable,0,9,9,62.25,Email Opened,29-06-2016 12:40,15-06-2016 9:05,Pune,Marketing Management,,
614798,API,Olark Chat,,Qualified,20,0,0,0,Email Opened,30-07-2016 15:27,,,Select Specialization,MAT,Unemployed
614796,API,Olark Chat,,Junk Lead,0,0,0,0,Email Opened,21-06-2016 16:55,,,,,
614794,API,Organic Search,,Unreachable,0,3,3,299,SMS Sent,29-06-2016 12:38,15-06-2016 9:00,Patiala,Select Specialization,MAT,Unemployed
614791,Lead Add Form,Welingak Website,,Closed,0,0,0,0,SMS Sent,21-07-2016 7:16,,,Select Specialization,MAT,Unemployed
614777,API,Olark Chat,,Junk Lead,0,0,0,0,Olark Chat Conversation,14-07-2016 10:35,,,,,
614745,Landing Page Submission,Google,hiee,Unreachable,0,8,2.67,93.5,Page Visited on Website,2/8/16 5:39,28-06-2016 5:35,Mumbai,Media and Advertising,,
614744,Landing Page Submission,Direct Traffic,,Unreachable,0,3,3,326.33,SMS Sent,2/7/16 7:33,15-06-2016 8:12,Ulhasnagar,Media and Advertising,MAT,Unemployed
614729,Landing Page Submission,Direct Traffic,,Unreachable,0,2,2,14,Email Opened,23-06-2016 10:18,15-06-2016 7:55,,Hospitality Management,MAT,Unemployed
614723,Landing Page Submission,Google,,Not Interested,0,12,3,58.38,Page Visited on Website,29-06-2016 15:49,16-06-2016 5:31,Mumbai,Business Administration,MAT,Unemployed
614708,API,Olark Chat,,Junk Lead,0,0,0,0,Email Opened,21-06-2016 16:19,,,,,
614705,Lead Add Form,Reference,,Qualified,40,0,0,0,Email Opened,26-07-2016 10:28,,,Human Resource Management,MAT,Housewife
614697,API,Olark Chat,,Junk Lead,0,0,0,0,Olark Chat Conversation,15-06-2016 7:45,,,,,
614695,Landing Page Submission,Google,I want to apply for the full time healthcare management course. Need help and information,Not Interested,0,3,3,581,Email Opened,20-06-2016 14:08,15-06-2016 7:33,Mumbai,Healthcare Management,MAT,Unemployed
614694,Landing Page Submission,Google,,Qualified,0,9,4.5,47.43,SMS Sent,26-07-2016 10:26,15-06-2016 7:34,,Finance Management,MAT,Unemployed
614685,API,Olark Chat,,Unreachable,0,0,0,0,Email Opened,23-06-2016 12:28,,,Select Specialization,MAT,Unemployed
614668,Landing Page Submission,Direct Traffic,,Unreachable,0,7,7,391.17,SMS Sent,2/7/16 7:33,15-06-2016 7:22,Gurgaon,Retail Management,MAT,Unemployed
614665,Landing Page Submission,Google,,Not Interested,0,3,3,96.33,Email Opened,23-06-2016 6:44,15-06-2016 7:21,Mumbai,Finance Management,MAT,Unemployed
614655,Lead Add Form,Welingak Website,,Qualified,0,0,0,0,SMS Sent,21-07-2016 7:16,,,Human Resource Management,MAT,Unemployed
614635,Landing Page Submission,Direct Traffic,,Qualified,0,4,2,30.5,SMS Sent,26-07-2016 10:28,15-06-2016 6:56,,Operations Management,MAT,Working Professional
614630,Landing Page Submission,Direct Traffic,,Not Interested,0,1,1,0,Converted to Lead,15-06-2016 6:52,15-06-2016 6:52,Bengaluru,Human Resource Management,MAT,Unemployed
614625,API,Olark Chat,,Junk Lead,0,0,0,0,Email Opened,21-06-2016 13:45,,,,,
614623,Landing Page Submission,Organic Search,,Unreachable,0,5,2.5,52,Email Opened,31-07-2016 5:46,2/7/16 11:12,Pune,Marketing Management,MAT,Unemployed
614615,API,Organic Search,,Unreachable,0,4,4,62,Email Link Clicked,17-06-2016 12:25,15-06-2016 6:43,Thane,Select Specialization,MAT,Unemployed
614607,Landing Page Submission,Google,I want to take admission please guide me further,Unreachable,0,6,3,107.5,Page Visited on Website,30-07-2016 14:45,15-06-2016 6:39,Mumbai,Human Resource Management,MAT,Unemployed
614597,API,Olark Chat,,Unreachable,0,0,0,0,SMS Sent,22-06-2016 7:49,,,,,
614587,API,Olark Chat,,Unreachable,0,0,0,0,Email Opened,21-07-2016 12:00,,,,,
614586,Landing Page Submission,Organic Search,,Unreachable,0,3,3,91,SMS Sent,22-06-2016 7:49,15-06-2016 6:28,Mumbai,Finance Management,,
614573,Landing Page Submission,Google,,Qualified,0,3,3,347.67,SMS Sent,24-07-2016 11:06,15-06-2016 6:23,Kolhapur,IT Projects Management,MAT,Unemployed
614570,Landing Page Submission,Direct Traffic,,Unreachable,0,4,4,60,Page Visited on Website,11/7/16 6:52,15-06-2016 6:22,Thane,Finance Management,MAT,Unemployed
614568,Landing Page Submission,Google,for MBA,Qualified,10,5,2.5,105.33,Email Opened,26-07-2016 9:38,15-06-2016 6:21,Chandigarh,Human Resource Management,MAT,Unemployed
614566,Landing Page Submission,Google,Admission process,Unreachable,0,2,2,7,Email Opened,12/7/16 8:37,15-06-2016 6:17,Mumbai,Marketing Management,MAT,Unemployed
614565,Landing Page Submission,Direct Traffic,,Not Interested,0,5,5,113,Email Opened,23-06-2016 6:31,15-06-2016 6:24,Mumbai,Business Administration,MAT,Unemployed
614563,Landing Page Submission,Direct Traffic,,Junk Lead,0,8,4,43,Email Bounced,19-06-2016 6:52,15-06-2016 6:50,Mumbai,Human Resource Management,MAT,Unemployed
614557,Lead Add Form,Welingak Website,,Closed,0,0,0,0,Email Link Clicked,5/7/16 11:06,,,Select Specialization,MAT,Unemployed
614554,Landing Page Submission,Google,Corresponds MBA programme in detail....,Interested,0,4,4,91.33,Page Visited on Website,15-06-2016 6:16,15-06-2016 6:13,Andheri,Hospitality Management,MAT,Unemployed
614541,API,Google,,Not Interested,0,3,1.5,56,Olark Chat Conversation,15-06-2016 6:41,15-06-2016 6:31,Mumbai,Marketing Management,MAT,Unemployed
614535,Landing Page Submission,Google,I want to be information about MBA in various faculty nd choose faculty nd take admission in our college.,Unreachable,0,4,4,157.67,Email Opened,21-06-2016 12:42,15-06-2016 5:58,Bhiwandi,Business Administration,MAT,Unemployed
614529,Landing Page Submission,Direct Traffic,,Not Interested,0,3,3,58,Email Link Clicked,18-06-2016 6:14,15-06-2016 5:54,Mumbai,Finance Management,,
614523,API,Google,,Unreachable,0,4,2,595,Page Visited on Website,4/7/16 9:19,20-06-2016 11:38,Mumbai,Select Specialization,MAT,Unemployed
614511,Landing Page Submission,Direct Traffic,,Junk Lead,0,4,4,47.33,Email Opened,22-06-2016 5:49,15-06-2016 5:41,Mumbai,Marketing Management,MAT,Unemployed
614508,Landing Page Submission,Direct Traffic,,Unreachable,0,2,2,104,Email Bounced,15-06-2016 5:44,15-06-2016 5:39,Pune,Operations Management,MAT,Unemployed
614506,Landing Page Submission,Direct Traffic,,Qualified,10,3,3,38,Email Opened,1/8/16 11:58,15-06-2016 5:36,Bengaluru,Operations Management,MAT,Unemployed
614498,Lead Add Form,Reference,,Qualified,0,0,0,0,SMS Sent,24-07-2016 11:06,,,Finance Management,MAT,Unemployed
614482,API,Olark Chat,,Qualified,20,0,0,0,Email Opened,29-07-2016 2:00,,,Select Specialization,MAT,Unemployed
614480,Landing Page Submission,Direct Traffic,"Enquiry & Details about the course of Human Resource Management,& Details ,Is The Soft Copy Of The Marksheet Will Be Accepted Or Not For The admisssion .",Qualified,0,2,2,16,SMS Sent,26-07-2016 10:19,15-06-2016 5:07,Thane,Human Resource Management,MAT,Unemployed
614475,API,Olark Chat,,Qualified,40,0,0,0,Email Opened,28-07-2016 12:16,,,Select Specialization,MAT,Unemployed
614470,Landing Page Submission,Google,Enquiry For Human Resource Management,Unreachable,0,6,6,60.8,SMS Sent,2/7/16 7:33,15-06-2016 4:57,Thane,Human Resource Management,MAT,Unemployed
614463,Landing Page Submission,Google,I want to know that is there any course of PGDBM ? and what should i do as i have completed my graduation in BBI this year. so what should I choose now An MBA or PGDM ?,Qualified,30,8,4,61.17,Email Opened,27-07-2016 16:08,15-06-2016 4:57,Mumbai,"Banking, Investment And Insurance",MAT,Unemployed
614458,Landing Page Submission,Organic Search,Looking for Online PGDM course.Mail me the course /fee details. I will available on phone after 7: 30 PM,Closed,0,7,7,151.5,Email Link Clicked,30-07-2016 5:06,15-06-2016 4:55,Mumbai,Marketing Management,MAT,Unemployed
614441,Landing Page Submission,Direct Traffic,,Closed,0,2,2,2,SMS Sent,22-06-2016 7:49,15-06-2016 4:31,Mumbai,E-COMMERCE,,
614434,API,Direct Traffic,,Qualified,20,4,1.33,882,Email Opened,1/8/16 4:50,23-06-2016 7:15,Mumbai,Select Specialization,MAT,Unemployed
614387,Landing Page Submission,Direct Traffic,,Junk Lead,0,1,1,0,Converted to Lead,15-06-2016 3:08,15-06-2016 3:08,Mumbai,Finance Management,,
614343,Landing Page Submission,Direct Traffic,,Qualified,0,3,3,30.5,SMS Sent,24-07-2016 11:59,14-06-2016 20:21,,Business Administration,MAT,Unemployed
614324,Landing Page Submission,Google,I want to know about Logistics and supply chain management.,Qualified,0,2,2,3,SMS Sent,17-07-2016 10:38,14-06-2016 18:45,Mumbai,Supply Chain Management,MAT,Unemployed
614292,API,Olark Chat,,Unreachable,0,0,0,0,SMS Sent,21-07-2016 7:16,,,Select Specialization,MAT,Unemployed
614287,Landing Page Submission,Direct Traffic,,Unreachable,0,4,4,58,SMS Sent,22-06-2016 7:49,14-06-2016 17:07,Mumbai,International Business,,
614282,Landing Page Submission,Direct Traffic,,Unreachable,0,4,4,228.67,SMS Sent,29-06-2016 12:39,14-06-2016 16:57,Mumbai,E-COMMERCE,MAT,Unemployed
614268,Landing Page Submission,Direct Traffic,,Junk Lead,0,3,3,52,Page Visited on Website,14-06-2016 16:36,14-06-2016 16:34,Pune,Travel and Tourism,,
614259,Landing Page Submission,Organic Search,,Qualified,0,8,8,78.43,SMS Sent,24-07-2016 11:06,14-06-2016 16:07,Mumbai,Business Administration,MAT,Unemployed
614251,API,Olark Chat,,Not Eligible,0,0,0,0,Olark Chat Conversation,14-06-2016 3:45,,,Select Specialization,MAT,Unemployed
614238,Landing Page Submission,Direct Traffic,"How can i apply for distence m.b.a course,about fees,and istallments",Qualified,0,2,2,1,SMS Sent,17-07-2016 10:38,14-06-2016 15:31,Kolkata,Marketing Management,,
614229,Landing Page Submission,Direct Traffic,,Unreachable,0,8,8,238.57,SMS Sent,29-06-2016 12:38,14-06-2016 15:14,Mumbai,"Banking, Investment And Insurance",MAT,Unemployed
614226,Landing Page Submission,Google,,Unreachable,0,5,5,152,SMS Sent,29-06-2016 12:39,14-06-2016 15:21,Pune,Human Resource Management,MAT,Unemployed
614222,Landing Page Submission,Direct Traffic,,Qualified,20,5,5,113,Email Opened,29-07-2016 16:13,14-06-2016 15:05,Mumbai,Business Administration,MAT,Unemployed
614219,API,Olark Chat,,Not Eligible,0,0,0,0,Email Bounced,14-06-2016 14:58,,,Select Specialization,MAT,Unemployed
614218,Landing Page Submission,Direct Traffic,,Unreachable,0,8,8,164.43,SMS Sent,15-06-2016 8:46,14-06-2016 14:57,Thane,E-COMMERCE,MAT,Unemployed
614213,Landing Page Submission,Google,syllabus,Unreachable,0,2,2,4,Email Opened,13-07-2016 13:29,14-06-2016 14:49,Delhi,Human Resource Management,,
614206,Landing Page Submission,Direct Traffic,,Qualified,0,10,5,102.89,SMS Sent,26-07-2016 10:24,14-06-2016 14:48,Mumbai,Marketing Management,MAT,Unemployed
614205,API,Organic Search,,Qualified,0,4,4,56,Page Visited on Website,14-06-2016 14:39,14-06-2016 14:38,Mumbai,Select Specialization,MAT,Unemployed
614204,API,Olark Chat,,Junk Lead,0,0,0,0,Olark Chat Conversation,14-06-2016 2:44,,,,,
614202,Landing Page Submission,Direct Traffic,,Unreachable,0,4,4,123,Page Visited on Website,14-06-2016 14:48,14-06-2016 14:31,,Finance Management,MAT,Unemployed
614200,Landing Page Submission,Direct Traffic,,Qualified,20,4,2,41.5,Email Opened,29-07-2016 15:03,14-06-2016 14:28,Thane,"Banking, Investment And Insurance",MAT,Unemployed
614189,Landing Page Submission,Direct Traffic,,Junk Lead,0,7,7,185.57,Email Opened,27-06-2016 6:31,14-06-2016 14:24,Kalyan,Hospitality Management,MAT,Student
614186,Landing Page Submission,Direct Traffic,,Junk Lead,0,1,1,0,Email Bounced,14-06-2016 14:12,14-06-2016 14:10,Mumbai,Finance Management,,
614179,Landing Page Submission,Google,,Unreachable,0,4,4,85.5,SMS Sent,29-06-2016 12:39,14-06-2016 14:03,Mumbai,Hospitality Management,MAT,Unemployed
614151,Landing Page Submission,Direct Traffic,,Qualified,20,4,2,343,Page Visited on Website,22-07-2016 9:45,14-06-2016 13:12,Mumbai,Marketing Management,MAT,Unemployed
614146,Landing Page Submission,Direct Traffic,,Qualified,40,4,2,37.5,Email Opened,26-07-2016 12:38,14-06-2016 13:05,,Operations Management,,
614140,API,Olark Chat,,Unreachable,0,0,0,0,Olark Chat Conversation,27-06-2016 10:52,,,Select Specialization,MAT,Unemployed
614139,API,Olark Chat,,Junk Lead,0,0,0,0,Olark Chat Conversation,27-07-2016 5:27,,,,,
614132,Landing Page Submission,Google,,Closed,0,9,3,90.33,Email Opened,24-07-2016 1:22,14-06-2016 12:48,Mumbai,Operations Management,MAT,Unemployed
614115,API,Google,,Junk Lead,0,2,2,639,Email Opened,22-06-2016 15:59,14-06-2016 12:40,Mumbai,,,
614107,Lead Add Form,Reference,,Qualified,0,0,0,0,SMS Sent,17-07-2016 10:38,,,Operations Management,MAT,Working Professional
614103,Lead Add Form,Reference,,Qualified,0,0,0,0,SMS Sent,17-07-2016 10:38,,,Finance Management,MAT,Working Professional
614100,Lead Add Form,Reference,,Qualified,0,0,0,0,SMS Sent,17-07-2016 10:38,,,Marketing Management,MAT,Working Professional
614097,API,Olark Chat,,Qualified,20,0,0,0,Email Opened,31-07-2016 5:59,,,Select Specialization,MAT,Unemployed
614096,Lead Add Form,Reference,,Qualified,0,0,0,0,SMS Sent,17-07-2016 10:38,,,Operations Management,MAT,Working Professional
614095,Lead Add Form,Reference,,Qualified,0,0,0,0,SMS Sent,17-07-2016 10:38,,,IT Projects Management,MAT,Working Professional
614091,Lead Add Form,Reference,,Closed,0,0,0,0,SMS Sent,17-07-2016 10:38,,,Operations Management,MAT,Working Professional
614090,Lead Add Form,Reference,,Not Interested,0,0,0,0,Email Opened,21-06-2016 12:42,,,Human Resource Management,MAT,Working Professional
614087,Lead Add Form,Reference,,Closed,0,0,0,0,Email Link Clicked,1/7/16 8:26,,,Finance Management,MAT,Working Professional
614082,API,Olark Chat,,Qualified,0,0,0,0,SMS Sent,21-07-2016 7:16,,,Select Specialization,MAT,Unemployed
614080,Lead Add Form,Reference,,Qualified,0,0,0,0,SMS Sent,17-07-2016 10:38,,,"Banking, Investment And Insurance",MAT,Working Professional
614077,Lead Add Form,Reference,,Qualified,0,0,0,0,SMS Sent,17-07-2016 10:38,,,Human Resource Management,MAT,Working Professional
614071,API,Olark Chat,,Not Interested,0,0,0,0,Olark Chat Conversation,14-06-2016 11:47,,,Finance Management,MAT,Unemployed
614070,Lead Add Form,Reference,,Qualified,0,0,0,0,SMS Sent,17-07-2016 10:38,,,Business Administration,MAT,Working Professional
614066,API,Google,,Not Interested,0,2,1,0,Olark Chat Conversation,14-06-2016 12:22,14-06-2016 12:13,Mumbai,Select Specialization,MAT,Unemployed
614067,Lead Add Form,Reference,,Qualified,0,0,0,0,SMS Sent,17-07-2016 10:38,,,Marketing Management,MAT,Working Professional
614056,Landing Page Submission,Google,,Unreachable,0,5,2.5,140.67,SMS Sent,6/7/16 12:13,14-06-2016 14:16,Mumbai,Finance Management,,
614042,Lead Add Form,Reference,,Qualified,0,0,0,0,SMS Sent,17-07-2016 10:38,,,Finance Management,MAT,Working Professional
614038,Landing Page Submission,Direct Traffic,,Qualified,0,2,2,399.5,SMS Sent,26-07-2016 10:25,14-06-2016 11:34,Pune,IT Projects Management,MAT,Unemployed
614037,Landing Page Submission,Direct Traffic,,Junk Lead,0,4,2,17,Email Opened,15-07-2016 11:20,14-06-2016 11:34,Delhi,Services Excellence,MAT,Unemployed
614036,Lead Add Form,Reference,B.E	Savitri Bai fule,Qualified,0,0,0,0,SMS Sent,17-07-2016 10:38,,,Human Resource Management,MAT,Working Professional
614021,API,Olark Chat,,Junk Lead,0,0,0,0,Email Bounced,21-06-2016 12:42,,,Select Specialization,MAT,Student
614018,Landing Page Submission,Organic Search,working in the govt  sector,Qualified,0,4,4,78.67,SMS Sent,17-07-2016 10:38,14-06-2016 11:25,nanded,Business Administration,MAT,Working Professional
614007,API,Google,,Qualified,0,2,1,101,SMS Sent,21-07-2016 7:16,14-06-2016 11:56,Mumbai,Select Specialization,MAT,Unemployed
613979,API,Organic Search,,Qualified,50,4,2,172.33,Page Visited on Website,8/8/16 7:43,20-07-2016 9:57,Bhimavaram,Rural and Agribusiness,MAT,Working Professional
613976,API,Google,,Unreachable,0,3,1.5,485.5,Email Opened,30-07-2016 5:25,25-07-2016 9:34,Mumbai,,,
613975,Landing Page Submission,Direct Traffic,,Qualified,0,3,3,22.5,SMS Sent,24-07-2016 11:06,14-06-2016 10:51,,Healthcare Management,,
613966,Landing Page Submission,Direct Traffic,,Unreachable,0,1,1,0,Converted to Lead,14-06-2016 10:45,14-06-2016 10:45,Mumbai,Marketing Management,MAT,Unemployed
613965,API,Organic Search,,Qualified,0,8,8,201,SMS Sent,26-07-2016 10:20,14-06-2016 10:48,Mumbai,Select Specialization,MAT,Unemployed
613964,API,Olark Chat,,Junk Lead,0,0,0,0,Olark Chat Conversation,14-06-2016 10:51,,,,,
613947,Landing Page Submission,Direct Traffic,,Qualified,70,4,4,39,Email Opened,8/8/16 9:26,14-06-2016 10:29,Thane,Finance Management,MAT,Unemployed
613938,API,Organic Search,,Qualified,0,2,1,566,SMS Sent,21-07-2016 7:16,14-06-2016 11:07,,Select Specialization,MAT,Unemployed
613918,Landing Page Submission,Direct Traffic,,Qualified,0,2,2,1,SMS Sent,17-07-2016 10:38,14-06-2016 10:05,Thane,Finance Management,MAT,Working Professional
613917,Lead Add Form,,,Qualified,20,0,0,0,Email Opened,29-07-2016 13:51,,,Select Specialization,MAT,Unemployed
613879,Landing Page Submission,Direct Traffic,,Unreachable,0,2,2,5,SMS Sent,22-06-2016 7:49,14-06-2016 9:40,Mumbai,Business Administration,,
613861,Landing Page Submission,Google,Pl explain about MBA,Unreachable,0,5,5,51.5,Email Opened,28-07-2016 10:58,14-06-2016 9:28,Noida,Operations Management,MAT,Unemployed
613858,API,Google,,Qualified,0,2,2,533,SMS Sent,21-07-2016 7:16,14-06-2016 9:32,Badlapur,,,
613854,Landing Page Submission,Google,I would like to take admission as soon as possible. kindly contact me as soon as possible.,Unreachable,0,6,6,30.2,Email Opened,27-07-2016 6:57,14-06-2016 9:24,Pune,Healthcare Management,MAT,Unemployed
613852,API,Organic Search,,Qualified,0,4,4,245,SMS Sent,21-07-2016 7:16,14-06-2016 9:33,Pune,Select Specialization,MAT,Unemployed
613850,API,Olark Chat,,Qualified,20,0,0,0,Email Opened,31-07-2016 3:59,,,Select Specialization,MAT,Unemployed
613825,API,Google,,Not Interested,0,2,2,519,Email Opened,21-06-2016 12:43,14-06-2016 9:10,Coimbatore,Select Specialization,MAT,Unemployed
613818,Lead Add Form,Welingak Website,,Closed,0,0,0,0,SMS Sent,14-06-2016 11:16,,,Select Specialization,MAT,Unemployed
613814,API,Google,,Unreachable,0,3,3,277,Email Opened,29-06-2016 5:14,14-06-2016 8:56,Kolkata,,,
613809,Landing Page Submission,Google,course enquiry,Unreachable,0,6,3,200.25,Email Opened,31-07-2016 9:16,15-06-2016 5:29,Mumbai,"Banking, Investment And Insurance",MAT,Unemployed
613797,Landing Page Submission,Organic Search,I would like join MBA IT programmegive me more details about  fees and duration,Qualified,0,5,5,25.75,SMS Sent,21-07-2016 7:16,14-06-2016 8:32,Mumbai,IT Projects Management,MAT,Unemployed
613774,API,Google,,Qualified,0,3,3,320.33,SMS Sent,24-07-2016 11:06,14-06-2016 8:10,Bhopal,Human Resource Management,MAT,Unemployed
613769,Landing Page Submission,Google,,Not Interested,0,5,2.5,71.33,Page Visited on Website,14-06-2016 8:08,14-06-2016 8:06,Mumbai,Business Administration,MAT,Unemployed
613750,Landing Page Submission,Direct Traffic,,Unreachable,0,3,3,41.5,Email Opened,3/7/16 4:39,14-06-2016 7:52,Solapur,"Banking, Investment And Insurance",MAT,Unemployed
613738,Landing Page Submission,Google,,Qualified,30,7,3.5,192.67,Page Visited on Website,23-07-2016 4:32,14-06-2016 7:47,Mumbai,Marketing Management,MAT,Unemployed
613732,Landing Page Submission,Direct Traffic,,Lost,0,3,3,166.5,Email Opened,31-07-2016 17:02,14-06-2016 7:44,Mumbai,Supply Chain Management,MAT,Unemployed
613711,Landing Page Submission,Direct Traffic,,Unreachable,0,2,2,5,Email Opened,23-07-2016 21:09,14-06-2016 7:13,Delhi,Finance Management,MAT,Unemployed
613707,Landing Page Submission,Google,,Qualified,20,5,2.5,322.8,Email Opened,26-07-2016 8:43,14-06-2016 7:15,Mumbai,Marketing Management,MAT,Unemployed
613698,Landing Page Submission,Direct Traffic,procedure and difficulties related to MBA,Unreachable,0,2,2,195,Unsubscribed,25-06-2016 2:08,14-06-2016 7:05,Mumbai,Human Resource Management,MAT,Unemployed
613697,API,Organic Search,,Unreachable,0,4,1.33,374,SMS Sent,21-07-2016 7:16,14-06-2016 7:13,Chennai,,,
613689,API,Google,,Qualified,0,3,1.5,873.5,SMS Sent,21-07-2016 7:16,14-06-2016 7:19,Mumbai,,,
613688,Landing Page Submission,Google,,Qualified,0,5,5,92.6,SMS Sent,17-07-2016 10:38,14-06-2016 7:02,Mumbai,Finance Management,,
613684,Landing Page Submission,Google,,Qualified,0,7,2.33,259,SMS Sent,26-07-2016 10:23,14-06-2016 6:58,Thane,Services Excellence,MAT,Unemployed
613680,Landing Page Submission,Organic Search,,Unreachable,0,3,3,64,Converted to Lead,14-06-2016 6:57,14-06-2016 6:57,Rewari,Supply Chain Management,MAT,Unemployed
613679,API,Google,,Junk Lead,0,3,1.5,501.5,Email Opened,21-06-2016 13:02,14-06-2016 7:21,,,,
613668,Lead Add Form,Welingak Website,,Closed,0,0,0,0,SMS Sent,9/7/16 10:35,,,Select Specialization,MAT,Unemployed
613660,Lead Add Form,,,Closed,0,0,0,0,SMS Sent,17-07-2016 10:38,,,Select Specialization,MAT,Unemployed
613659,Lead Add Form,Reference,,Qualified,40,3,3,23.5,Email Opened,29-07-2016 13:30,,,"Banking, Investment And Insurance",MAT,Unemployed
613655,Landing Page Submission,Direct Traffic,,Qualified,0,7,7,133.67,SMS Sent,17-07-2016 10:38,14-06-2016 6:40,Mumbai,Travel and Tourism,,
613650,API,Google,,Qualified,0,2,2,324,SMS Sent,21-07-2016 7:16,14-06-2016 6:44,Ahmedabad,,,
613635,API,Olark Chat,,Junk Lead,0,0,0,0,Olark Chat Conversation,14-06-2016 6:35,,,Select Specialization,MAT,Unemployed
613632,Landing Page Submission,Direct Traffic,I would like to know the MBA part time course  in Banking & Insurance through correspondence course. Please mail me all the details.Thanks.,Unreachable,0,1,1,0,Email Bounced,14-06-2016 6:27,14-06-2016 6:24,Mumbai,"Banking, Investment And Insurance",MAT,Unemployed
613633,API,Google,,Qualified,20,3,3,807.5,Email Opened,24-07-2016 13:07,14-06-2016 6:50,New Delhi,Travel and Tourism,MAT,Unemployed
613624,Lead Add Form,Reference,,Interested,0,0,0,0,SMS Sent,27-07-2016 6:39,,,Finance Management,MAT,Unemployed
613622,Landing Page Submission,Direct Traffic,,Qualified,10,8,8,59.57,Email Opened,4/8/16 6:20,14-06-2016 6:17,Mumbai,"Banking, Investment And Insurance",MAT,Unemployed
613614,API,Organic Search,,Unreachable,0,4,4,142.33,SMS Sent,29-06-2016 12:39,14-06-2016 6:13,Vijayawada,Select Specialization,MAT,Unemployed
613611,Landing Page Submission,Direct Traffic,I like to know carrier opportunity in operation management.,Junk Lead,0,4,4,112.75,Form Submitted on Website,14-06-2016 6:27,14-06-2016 6:12,Böblingen,Operations Management,,
613597,API,Olark Chat,,Junk Lead,0,0,0,0,Email Opened,21-07-2016 6:34,,,,,
613583,Lead Add Form,,,Qualified,0,0,0,0,SMS Sent,14-06-2016 5:47,,,Select Specialization,MAT,Unemployed
613574,Landing Page Submission,Direct Traffic,I am BE Instrumentation Engineer working as a Technical Support Engineer since 8 months. I am seeking useful post graduation course which will increase my technical as well as commercial knowledge as I am more interested in doing business. please suggest me good options,Qualified,0,4,2,164.5,SMS Sent,17-07-2016 10:38,14-06-2016 9:13,Mumbai,Business Administration,MAT,Working Professional
613565,API,Olark Chat,,Junk Lead,0,0,0,0,Olark Chat Conversation,14-06-2016 5:48,,,,,
